timestamp,cache_value
12/1/18,783
12/2/18,231
12/3/18,136
12/4/18,424
12/5/18,0
12/6/18,0
12/7/18,497
12/8/18,479
12/9/18,340
12/10/18,1470
12/11/18,953
12/12/18,783
,
