timestamp,value
12/15/18 17:30,"1,353"
12/15/18 17:40,351
12/15/18 17:50,402
12/15/18 18:00,294
12/15/18 18:10,345
12/15/18 18:20,285
12/15/18 18:30,708
12/15/18 18:40,969
12/15/18 18:50,204
12/15/18 19:00,228
12/15/18 19:10,78
12/15/18 19:30,3
12/15/18 19:50,114
12/15/18 20:00,132
12/15/18 20:10,18
12/15/18 20:20,528
12/15/18 20:40,9
12/15/18 20:50,39
12/15/18 21:00,12
12/15/18 21:10,177
12/15/18 21:20,174
12/15/18 21:30,111
12/15/18 21:40,225
12/15/18 21:50,456
12/15/18 22:00,384
12/15/18 22:10,381
12/15/18 22:20,486
12/15/18 22:30,603
12/15/18 22:40,477
12/15/18 22:50,333
12/15/18 23:00,288
12/15/18 23:10,258
12/15/18 23:20,171
12/15/18 23:30,201
12/15/18 23:40,222
12/15/18 23:50,474
12/16/18 0:00,"1,173"
12/16/18 0:10,696
12/16/18 0:20,213
12/16/18 0:30,237
12/16/18 0:40,228
12/16/18 0:50,225
12/16/18 1:00,210
12/16/18 1:10,195
12/16/18 1:20,213
12/16/18 1:30,153
12/16/18 2:10,"24,432"
12/16/18 2:20,"23,352"
12/16/18 2:30,"22,413"
12/16/18 2:40,"22,785"
12/16/18 2:50,"12,060"
12/16/18 3:00,297
12/16/18 3:10,"2,310"
12/16/18 3:20,"1,050"
12/16/18 3:30,"1,413"
12/16/18 3:40,"1,500"
12/16/18 3:50,"2,919"
12/16/18 4:40,6
12/16/18 5:20,3
12/16/18 6:40,3
12/16/18 6:50,3
12/16/18 7:10,9
12/16/18 8:20,3
12/16/18 9:00,408
12/16/18 9:10,342
12/16/18 9:20,186
12/16/18 9:30,162
12/16/18 9:40,327
12/16/18 9:50,69
12/16/18 10:00,18
12/16/18 10:20,78
12/16/18 10:30,66
12/16/18 10:40,45
12/16/18 10:50,717
12/16/18 11:00,345
12/16/18 11:10,105
12/16/18 11:20,408
12/16/18 11:30,426
12/16/18 11:40,183
12/16/18 11:50,57
12/16/18 12:00,111
12/16/18 12:10,918
12/16/18 12:20,"1,101"
12/16/18 12:30,513
12/16/18 12:40,129
12/16/18 12:50,294
12/16/18 13:00,264
12/16/18 13:10,573
12/16/18 13:20,504
12/16/18 13:30,120
12/16/18 13:40,141
12/16/18 13:50,96
12/16/18 14:00,51
12/16/18 14:10,408
12/16/18 14:20,477
12/16/18 14:30,657
12/16/18 14:40,327
12/16/18 14:50,456
12/16/18 15:00,417
12/16/18 15:10,942
12/16/18 15:20,495
12/16/18 15:30,84
12/16/18 15:40,36
12/16/18 15:50,78
12/16/18 16:00,96
12/16/18 16:10,141
12/16/18 16:20,150
12/16/18 16:30,90
12/16/18 16:40,183
12/16/18 16:50,276
12/16/18 17:00,444
12/16/18 17:10,312
12/16/18 17:20,381
12/16/18 17:30,630
